OBJECTID,NEIGHBORHD,COMMERCIAL,GREEN,INDUSTRY,MULTIFAM,OTHER,PUBLIC,SINGLEFAM,STREET,VACANT,TOTAL
174,WALNUT HILL,7.5844094988,0.1110654613,3.2803429996,25.1426713097,9.4357129924,5.8559579139,22.022756179,42.5484321484,16.6178406893,132.5991891924
175,WASHINGTON HEIGHTS,10.369147264,0,0.0654578704,92.3760816507,3.7e-9,13.1502626276,125.4869364545,120.2526824424,0.9837748509,362.6843431642
176,WASHINGTON PARK,16.0233403493,67.8789003547,0.2550016748,55.0682667143,55.3245164428,10.3486656822,38.211549032,102.6615383734,17.4499909451,363.2217695686
177,WEDGEWOOD,0.3719858768,5.6393885841,0,17.952815041,1.2219119733,0,73.1716375889,49.774130996,2.5216571073,150.6535271674
178,WEST VIEW,4.7708104157,3.11891642,0,23.6653194417,7.5689591992,15.183526539,156.3755235297,31.5841770207,0.6309103285,242.8981428945
179,WHISPERING HILLS,4.218400613,0,0,13.2537640875,0,23.2860208401,1995.3523335542,16.9301643698,15.0390562235,2068.0797396881
180,WHITE MANOR,3.9809917923,1.1209330763,0,12.6315349676,0.6497992033,6.3838692991,86.6661784746,37.5992284858,0.4154338876,149.4479691866
181,WICK FIELD,19.0230732211,27.5872282642,6.7027381446,6.3116763819,26.1987983872,8.9529223448,10.7906906763,22.2597122359,8.2550489476,136.0818886036
182,WILLIAMSBURG,36.5862433531,6.5389145475,48.2234137677,28.5167648619,2.7355112187,9.2947167955,33.207499722,87.8890248901,6.2326237793,259.2247129358
183,WILSON PARK,59.9225811856,120.5448085114,6.2164763763,39.2989521775,118.972898567,16.5053105521,109.2771855808,127.5531841401,9.1800094143,607.4714065051
184,WOODLAND COURT,2.4478880717,0,0,18.5521241514,0,3.7406707205,17.7485165422,11.3115190739,0,53.8007185597
185,WOODLANDS,1.2194605375,0,0,33.1399395178,0.623427795,2.6192144484,23516.2248962212,17.4268530257,2.4810019183,23573.7347934639
186,WYRICK PARK,7.0243263608,16.432853311,15.1214875955,24.9913196169,9.6271975216,31.2228723902,2493.6592687327,23.8266780523,54.9912305653,2676.8972341463
187,YANKEE HILL,20.9347145677,1.5881652586,0,13.4312819448,1.57503142,6.1108704335,297.3591925558,26.1458717258,0.4635824555,367.6087103617
188,ZOO,0,0,0,0,109.8203893723,92.2006477259,0,63.4639197606,0.2867311295,265.7716879883
189,GRANVILLE STATION,56.0006501579,81.5665295489,38.7243783765,10.6628986395,47.0383893644,1.0045368672,698.3091793198,50.0614720856,62.9099958516,1046.2780302114
190,NORTH GRANVILLE,213.2797109109,203.344709236,165.4491024435,28.9764828881,81.3042277913,4.7910311587,36.975696634,57.8117660176,316.8348423285,1108.7675694086
191,BUCHEL PARK,0.0000212305,0,0.0017431688,0,3.42e-8,0,7.6233474042,1.6039885901,0.0014574517,9.2305578795
